"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_10248","","hypothetical protein","5","24","32","12","13.513513513513514","33.33333333333333","0.078125","3.6951586139575584e-06","0.04671789035626541","0.007944041349441173","7","2","6","0.125","0.453125"
"group_3226","","MFS transporter","2","19","35","17","5.405405405405405","47.22222222222222","0.05112781954887218","6.072744706847474e-06","0.07677771132867262","0.007944041349441173","4","2","4","0.125","1.0"
"group_7132","","hypothetical protein;cell envelope integrity protein TolA","2","19","35","17","5.405405405405405","47.22222222222222","0.05112781954887218","6.072744706847474e-06","0.07677771132867262","0.007944041349441173","4","2","4","0.125","1.0"
"group_5073","","DUF2938 family protein","2","19","35","17","5.405405405405405","47.22222222222222","0.05112781954887218","6.072744706847474e-06","0.07677771132867262","0.007944041349441173","6","2","5","0.21875","0.6875"
"group_4897","","hypothetical protein;malate dehydrogenase","2","19","35","17","5.405405405405405","47.22222222222222","0.05112781954887218","6.072744706847474e-06","0.07677771132867262","0.007944041349441173","4","2","4","0.125","1.0"
"group_4021","","cupin domain-containing protein","2","19","35","17","5.405405405405405","47.22222222222222","0.05112781954887218","6.072744706847474e-06","0.07677771132867262","0.007944041349441173","4","2","4","0.125","1.0"
"group_11750","","HlyD family efflux transporter periplasmic adaptor subunit;HlyD family secretion protein","16","33","21","3","43.24324324324324","8.333333333333332","0.06926406926406926","1.2152172672017257e-05","0.15363991909231417","0.007944041349441173","9","3","8","0.0390625","0.5078125"
"group_12285","","hypothetical protein","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","9","2","7","0.1796875","0.1796875"
"group_5812","","DUF1295 domain-containing protein","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_2171","","D-alanine--poly(phosphoribitol) ligase","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_418","","phosphoenolpyruvate-utilizing enzyme","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_12279","","3'-5' exonuclease","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","9","2","7","0.1796875","0.1796875"
"group_4997","","polyketide synthase","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_1189","","aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_14913","","RedY-like protein","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_12099","","hypothetical protein","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","8","2","6","0.2890625","0.2890625"
"group_4313","","methyltransferase domain-containing protein","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_479","","aminotransferase class III-fold pyridoxal phosphate-dependent enzyme","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_14455","","hypothetical protein","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_7404","","4'-phosphopantetheinyl transferase;4'-phosphopantetheinyl transferase superfamily protein","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_3937","","prodigiosin biosynthesis protein PigM","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_461","","hypothetical protein","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_12290","","nucleotidyltransferase","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","9","2","7","0.1796875","0.1796875"
"group_5831","","FAD-dependent oxidoreductase;DUF6041 domain-containing protein","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_3556","","acyl-CoA/acyl-ACP dehydrogenase","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_445","","acyl carrier protein","2","18","35","18","5.405405405405405","50.0","0.05714285714285714","1.63367139986926e-05","0.20654507508547051","0.007944041349441173","5","2","4","0.375","1.0"
"group_11995","","tyrosine-protein kinase Wzc","11","29","26","7","29.72972972972973","19.444444444444446","0.10212201591511937","1.6981835549220245e-05","0.21470134684879155","0.007951901735140429","8","4","6","0.2890625","1.0"
"group_11317","","hypothetical protein","23","5","14","31","62.16216216216216","86.11111111111111","10.185714285714285","2.9541270699953485e-05","0.3734902854595119","0.012693349161651614","10","9","3","0.021484375","0.34375"
"group_9206","","phage tail protein;hypothetical protein","3","19","34","17","8.108108108108109","47.22222222222222","0.07894736842105263","3.212743598614661e-05","0.40618717317285163","0.012693349161651614","8","2","7","0.0703125","0.2890625"
"group_4896","","cupin;cupin domain-containing protein","3","19","34","17","8.108108108108109","47.22222222222222","0.07894736842105263","3.212743598614661e-05","0.40618717317285163","0.012693349161651614","5","3","4","0.375","1.0"
"group_11810","","EamA family transporter;DMT family transporter","3","19","34","17","8.108108108108109","47.22222222222222","0.07894736842105263","3.212743598614661e-05","0.40618717317285163","0.012693349161651614","5","3","4","0.375","1.0"
"group_10167","","thiamine pyrophosphate-binding protein","3","19","34","17","8.108108108108109","47.22222222222222","0.07894736842105263","3.212743598614661e-05","0.40618717317285163","0.012693349161651614","5","3","4","0.375","1.0"
