"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_12732","","hypothetical protein","2","0","2","69","50.0","100.0","inf","0.0022831050228310536","1.0","1.0","2","2","0","0.5","0.5"
"group_12406","","hypothetical protein","2","0","2","69","50.0","100.0","inf","0.0022831050228310536","1.0","1.0","2","2","0","0.5","0.5"
"group_3334","","hypothetical protein","2","0","2","69","50.0","100.0","inf","0.0022831050228310536","1.0","1.0","2","2","0","0.5","0.5"
"group_8872","","hypothetical protein","4","14","0","55","100.0","79.71014492753623","inf","0.0028113888812325923","1.0","1.0","4","4","0","0.125","0.125"
"group_10673","","LysR family transcriptional regulator","4","15","0","54","100.0","78.26086956521739","inf","0.0035610925828946463","1.0","1.0","3","3","0","0.25","0.25"
"group_5758","","hypothetical protein","2","1","2","68","50.0","98.55072463768117","68.0","0.006720689433404062","1.0","1.0","2","2","1","0.5","1.0"
"group_10569","","GNAT family N-acetyltransferase","4","19","0","50","100.0","72.46376811594203","inf","0.008135571419383874","1.0","1.0","4","4","0","0.125","0.125"
"group_7153","","cysteine hydrolase","3","9","1","60","75.0","86.95652173913044","20.0","0.012784469373317533","1.0","1.0","3","2","1","1.0","1.0"
"group_11680","","isochorismatase family protein","3","9","1","60","75.0","86.95652173913044","20.0","0.012784469373317533","1.0","1.0","4","3","1","0.625","0.625"
"group_10207","","FUSC family protein","3","9","1","60","75.0","86.95652173913044","20.0","0.012784469373317533","1.0","1.0","3","2","1","1.0","1.0"
"group_8250","","hypothetical protein","3","9","1","60","75.0","86.95652173913044","20.0","0.012784469373317533","1.0","1.0","3","2","1","1.0","1.0"
"group_8007","","glycosyltransferase;glycosyltransferase family 2 protein","2","2","2","67","50.0","97.10144927536231","33.5","0.013186883860239052","1.0","1.0","3","2","1","1.0","1.0"
"group_12566","","hypothetical protein","2","2","2","67","50.0","97.10144927536231","33.5","0.013186883860239052","1.0","1.0","4","2","2","1.0","1.0"
"group_6715","","ABC transporter permease","2","2","2","67","50.0","97.10144927536231","33.5","0.013186883860239052","1.0","1.0","3","2","1","1.0","1.0"
"group_10605","","dTDP-4-dehydrorhamnose reductase","2","2","2","67","50.0","97.10144927536231","33.5","0.013186883860239052","1.0","1.0","3","2","1","1.0","1.0"
"group_6649","","acyltransferase;acyltransferase family protein","2","2","2","67","50.0","97.10144927536231","33.5","0.013186883860239052","1.0","1.0","3","2","1","1.0","1.0"
"group_9463","","glycosyltransferase","2","2","2","67","50.0","97.10144927536231","33.5","0.013186883860239052","1.0","1.0","3","2","1","1.0","1.0"
"group_5717","","ABC transporter ATP-binding protein","2","2","2","67","50.0","97.10144927536231","33.5","0.013186883860239052","1.0","1.0","3","2","1","1.0","1.0"
"group_8625","","prepilin","2","2","2","67","50.0","97.10144927536231","33.5","0.013186883860239052","1.0","1.0","3","2","2","1.0","1.0"
"group_10504","","UbiX family flavin prenyltransferase","3","10","1","59","75.0","85.5072463768116","17.7","0.016422737337265545","1.0","1.0","3","3","1","0.25","1.0"
"group_12117","","S-type pyocin domain-containing protein","3","10","1","59","75.0","85.5072463768116","17.7","0.016422737337265545","1.0","1.0","3","3","1","0.25","1.0"
"group_11980","","tail fiber domain-containing protein","3","11","1","58","75.0","84.05797101449275","15.818181818181818","0.02065084571355065","1.0","1.0","3","3","1","0.25","1.0"
"group_11485","","UbiD family decarboxylase","3","11","1","58","75.0","84.05797101449275","15.818181818181818","0.02065084571355065","1.0","1.0","3","3","1","0.25","1.0"
"group_9170","","hypothetical protein","3","11","1","58","75.0","84.05797101449275","15.818181818181818","0.02065084571355065","1.0","1.0","3","2","1","1.0","1.0"
"group_7781","","MarR family winged helix-turn-helix transcriptional regulator","3","11","1","58","75.0","84.05797101449275","15.818181818181818","0.02065084571355065","1.0","1.0","3","3","1","0.25","1.0"
"group_12876","","glucosyltransferase domain-containing protein","2","3","2","66","50.0","95.65217391304348","22.0","0.021558575195465036","1.0","1.0","3","2","1","1.0","1.0"
"group_6178","","replication associated protein RepA1","2","3","2","66","50.0","95.65217391304348","22.0","0.021558575195465036","1.0","1.0","3","2","2","1.0","1.0"
"group_12867","","glycosyltransferase family 2 protein","2","3","2","66","50.0","95.65217391304348","22.0","0.021558575195465036","1.0","1.0","3","2","1","1.0","1.0"
"group_6071","","TraJ protein;hypothetical protein","2","3","2","66","50.0","95.65217391304348","22.0","0.021558575195465036","1.0","1.0","3","2","2","1.0","1.0"
"group_12865","","GtrA family protein","2","3","2","66","50.0","95.65217391304348","22.0","0.021558575195465036","1.0","1.0","3","2","1","1.0","1.0"
"group_5077","","hypothetical protein","2","3","2","66","50.0","95.65217391304348","22.0","0.021558575195465036","1.0","1.0","3","2","2","1.0","1.0"
"group_7623","","conjugal transfer protein TraO","2","3","2","66","50.0","95.65217391304348","22.0","0.021558575195465036","1.0","1.0","3","2","2","1.0","1.0"
"group_2317","","Flp pilus assembly complex ATPase component TadA","2","3","2","66","50.0","95.65217391304348","22.0","0.021558575195465036","1.0","1.0","3","2","2","1.0","1.0"
"group_6304","","type 4b pilus protein PilO2","2","3","2","66","50.0","95.65217391304348","22.0","0.021558575195465036","1.0","1.0","3","2","2","1.0","1.0"
"group_10160","","DUF4865 family protein","4","26","0","43","100.0","62.31884057971014","inf","0.02517846806868603","1.0","1.0","3","3","0","0.25","0.25"
"group_10977","","hypothetical protein","3","12","1","57","75.0","82.6086956521739","14.25","0.02550003215640875","1.0","1.0","3","3","1","0.25","1.0"
"group_6268","","ABC transporter permease","3","12","1","57","75.0","82.6086956521739","14.25","0.02550003215640875","1.0","1.0","4","3","1","0.625","0.625"
"group_9749","","hypothetical protein","0","42","4","27","0.0","39.130434782608695","0.0","0.028908611486269224","1.0","1.0","3","0","3","0.25","0.25"
