Component	Gene	Annotation	Num
2	group_12006	DHH family phosphoesterase	63
2	group_11793	universal stress protein;hypothetical protein	63
2	group_11342	phosphopyruvate hydratase	62
3	group_11465	AraC family transcriptional regulator	59
3	group_10433	oxidoreductase	53
4	group_11367	helix-turn-helix transcriptional regulator	62
4	group_11339	aromatic alcohol reductase;NmrA family NAD(P)-binding protein	63
5	group_10355	glycosyltransferase	63
5	group_11825	glycosyltransferase	63
5	group_11410	glycosyltransferase family 9 protein	63
5	group_11439	O-antigen ligase family protein	63
6	group_10944	hypothetical protein;NUDIX hydrolase	65
6	group_10406	NUDIX domain-containing protein;GDP-mannose pyrophosphatase	65
7	group_11365	sulfite exporter TauE/SafE family protein;TSUP family transporter	62
7	group_10164	NAD(P)/FAD-dependent oxidoreductase	64
7	group_10099	MBL fold metallo-hydrolase	65
8	group_10651	lysozyme	59
8	group_8120	hypothetical protein	59
9	group_10046	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	67
9	group_10009	type II toxin-antitoxin system VapC family toxin	67
10	group_5883	sugar efflux transporter	63
10	group_8279	RNA chaperone/antiterminator CspA	64
10	group_9557	isochorismatase family protein	66
11	group_6822	hypothetical protein;ATP-binding protein	66
11	group_11976	efflux RND transporter periplasmic adaptor subunit	66
12	group_9342	molybdopterin-dependent oxidoreductase	67
12	group_9634	heavy metal response regulator transcription factor	67
12	group_6188	SDR family NAD(P)-dependent oxidoreductase;NAD-dependent epimerase/dehydratase family protein	67
12	group_5139	acyl carrier protein	67
12	group_10062	lipoprotein;hypothetical protein;ATP-binding protein	67
12	group_2775	lipopolysaccharide biosynthesis protein	67
12	group_9726	fatty acyl-AMP ligase	67
12	group_6821	hypothetical protein	67
12	group_10970	glucose 1-dehydrogenase;SDR family oxidoreductase	67
12	group_11357	LPS export ABC transporter permease LptF	67
12	group_10059	YtfJ family protein	67
12	group_7882	diacylglycerol kinase	67
12	group_8909	LysR family transcriptional regulator	67
12	group_9596	MbtH family protein	67
12	group_8282	hypothetical protein	67
12	group_8286	heavy metal sensor histidine kinase	67
12	group_8113	cytochrome b/b6 domain-containing protein	67
