Group	Ontology	Cluster	Num_genomes	Num_genes	Num_terms	Num_term_groups	Num_annot	Percent_annot	Num_ident	Jaccard_coeff
Core	GO:biological_process	group_8924	73	73	792	11	72	0.986301369863014	72	0.972602739726027
Core	GO:molecular_function	group_8924	73	73	432	6	72	0.986301369863014	72	0.972602739726027
Core	COG	group_8889	72	72	8	1	8	0.111111111111111	64	0.799687010954617
Core	GO:biological_process	group_8889	72	72	48	6	8	0.111111111111111	64	0.799687010954617
Core	GO:molecular_function	group_8889	72	72	48	6	8	0.111111111111111	64	0.799687010954617
Core	KEGG	group_8889	72	72	16	2	8	0.111111111111111	64	0.799687010954617
Core	COG	group_8487	73	73	56	1	56	0.767123287671233	56	0.637747336377473
Core	GO:biological_process	group_8442	73	73	1500	30	50	0.684931506849315	50	0.562404870624049
Core	GO:cellular_component	group_8442	73	73	300	6	50	0.684931506849315	50	0.562404870624049
Core	KEGG	group_8442	73	73	200	4	50	0.684931506849315	50	0.562404870624049
Core	GO:cellular_component	group_6855	73	73	72	8	9	0.123287671232877	64	0.780821917808219
Core	GO:molecular_function	group_6719	69	69	306	6	51	0.739130434782609	51	0.608695652173913
Core	KEGG	group_6719	69	69	51	1	51	0.739130434782609	51	0.608695652173913
Core	GO:biological_process	group_13690	73	73	1944	27	72	0.986301369863014	72	0.972602739726027
Core	GO:molecular_function	group_13690	73	73	360	5	72	0.986301369863014	72	0.972602739726027
Core	GO:cellular_component	group_13690	73	73	576	8	72	0.986301369863014	72	0.972602739726027
Core	KEGG	group_13690	73	73	72	1	72	0.986301369863014	72	0.972602739726027
Core	COG	group_12728	73	73	22	1	22	0.301369863013699	51	0.573059360730594
Core	GO:molecular_function	group_12728	73	73	286	13	22	0.301369863013699	51	0.573059360730594
Core	KEGG	group_11757	73	73	70	2	35	0.47945205479452	38	0.493911719939117
Core	GO:cellular_component	group_10876	73	73	336	6	56	0.767123287671233	56	0.637747336377473
Accessory	COG	group_9747	9	10	9	1	9	0.9	9	0.8
Accessory	COG	group_9525	38	38	37	1	37	0.973684210526316	37	0.947368421052632
Accessory	KEGG	group_9525	38	38	111	3	37	0.973684210526316	37	0.947368421052632
Accessory	COG	group_9439	3	3	1	1	1	0.333333333333333	2	0.333333333333333
Accessory	COG	group_9378	38	38	25	1	25	0.657894736842105	25	0.537695590327169
Accessory	GO:biological_process	group_9378	38	38	125	5	25	0.657894736842105	25	0.537695590327169
Accessory	COG	group_9355	8	8	2	1	2	0.25	6	0.571428571428571
Accessory	KEGG	group_9333	5	5	24	6	4	0.8	4	0.6
Accessory	GO:biological_process	group_8942	16	16	108	27	4	0.25	12	0.6
Accessory	GO:molecular_function	group_8942	16	16	24	6	4	0.25	12	0.6
Accessory	GO:cellular_component	group_8942	16	16	24	6	4	0.25	12	0.6
Accessory	COG	group_8783	3	3	1	1	1	0.333333333333333	2	0.333333333333333
Accessory	GO:biological_process	group_8631	4	4	84	28	3	0.75	3	0.5
Accessory	GO:molecular_function	group_8631	4	4	21	7	3	0.75	3	0.5
Accessory	GO:cellular_component	group_8631	4	4	12	4	3	0.75	3	0.5
Accessory	COG	group_8612	3	5	3	1	3	0.6	3	0.4
Accessory	COG	group_8462	27	27	21	1	21	0.777777777777778	21	0.641025641025641
Accessory	COG	group_8404	3	3	2	1	2	0.666666666666667	2	0.333333333333333
Accessory	GO:biological_process	group_8046	3	3	12	6	2	0.666666666666667	2	0.333333333333333
Accessory	GO:cellular_component	group_8046	3	3	22	11	2	0.666666666666667	2	0.333333333333333
Accessory	COG	group_7755	30	32	31	1	31	0.96875	31	0.9375
Accessory	COG	group_7553	3	3	2	1	2	0.666666666666667	2	0.333333333333333
Accessory	COG	group_7486	7	7	2	1	2	0.285714285714286	5	0.523809523809524
Accessory	COG	group_7475	32	32	1	1	1	0.03125	31	0.9375
Accessory	GO:biological_process	group_7475	32	32	12	12	1	0.03125	31	0.9375
Accessory	GO:molecular_function	group_7475	32	32	8	8	1	0.03125	31	0.9375
Accessory	GO:cellular_component	group_7475	32	32	7	7	1	0.03125	31	0.9375
Accessory	KEGG	group_7475	32	32	1	1	1	0.03125	31	0.9375
Accessory	COG	group_6808	23	23	12	1	12	0.521739130434783	12	0.478260869565217
Accessory	GO:biological_process	group_6762	2	2	9	9	1	0.5	1	0
Accessory	GO:molecular_function	group_6762	2	2	6	6	1	0.5	1	0
Accessory	GO:biological_process	group_5625	5	7	30	15	2	0.285714285714286	5	0.523809523809524
Accessory	GO:cellular_component	group_5625	5	7	22	11	2	0.285714285714286	5	0.523809523809524
Accessory	GO:biological_process	group_5620	5	6	15	15	1	0.166666666666667	5	0.666666666666667
Accessory	GO:cellular_component	group_5620	5	6	11	11	1	0.166666666666667	5	0.666666666666667
Accessory	COG	group_5395	2	3	2	1	2	0.666666666666667	2	0.333333333333333
Accessory	COG	group_5064	2	2	1	1	1	0.5	1	0
Accessory	COG	group_505	6	6	5	1	5	0.833333333333333	5	0.666666666666667
Accessory	COG	group_5037	2	2	1	1	1	0.5	1	0
Accessory	KEGG	group_4862	3	3	3	3	1	0.333333333333333	2	0.333333333333333
Accessory	GO:molecular_function	group_4493	7	7	72	12	6	0.857142857142857	6	0.714285714285714
Accessory	GO:biological_process	group_3769	2	2	30	30	1	0.5	1	0
Accessory	GO:molecular_function	group_3769	2	2	16	16	1	0.5	1	0
Accessory	GO:cellular_component	group_3769	2	2	8	8	1	0.5	1	0
Accessory	GO:biological_process	group_3226	21	21	13	13	1	0.047619047619048	20	0.904761904761905
Accessory	GO:molecular_function	group_3226	21	21	7	7	1	0.047619047619048	20	0.904761904761905
Accessory	GO:cellular_component	group_3226	21	21	6	6	1	0.047619047619048	20	0.904761904761905
Accessory	KEGG	group_3008	4	4	3	1	3	0.75	3	0.5
Accessory	GO:biological_process	group_2262	7	7	6	3	2	0.285714285714286	5	0.523809523809524
Accessory	COG	group_2198	2	2	1	1	1	0.5	1	0
Accessory	GO:biological_process	group_13075	3	3	22	11	2	0.666666666666667	2	0.333333333333333
Accessory	GO:molecular_function	group_13075	3	3	14	7	2	0.666666666666667	2	0.333333333333333
Accessory	COG	group_13021	4	4	2	1	2	0.5	2	0.333333333333333
Accessory	COG	group_12924	14	14	6	1	6	0.428571428571429	8	0.472527472527472
Accessory	COG	group_12864	18	18	7	1	7	0.388888888888889	11	0.496732026143791
Accessory	COG	group_12849	5	5	1	1	1	0.2	4	0.6
Accessory	COG	group_12769	2	2	1	1	1	0.5	1	0
Accessory	COG	group_12668	2	2	1	1	1	0.5	1	0
Accessory	GO:molecular_function	group_12528	14	14	208	16	13	0.928571428571429	13	0.857142857142857
Accessory	GO:cellular_component	group_12528	14	14	104	8	13	0.928571428571429	13	0.857142857142857
Accessory	COG	group_12526	8	8	7	1	7	0.875	7	0.75
Accessory	KEGG	group_12512	13	13	12	1	12	0.923076923076923	12	0.846153846153846
Accessory	COG	group_12431	10	10	18	2	9	0.9	9	0.8
Accessory	COG	group_12345	10	10	8	1	8	0.8	8	0.644444444444444
Accessory	COG	group_12331	25	25	24	1	24	0.96	24	0.92
Accessory	KEGG	group_12262	9	9	12	4	3	0.333333333333333	6	0.5
Accessory	KEGG	group_12164	27	31	30	1	30	0.967741935483871	30	0.935483870967742
Accessory	KEGG	group_12034	5	5	3	1	3	0.6	3	0.4
Accessory	COG	group_11994	3	4	3	1	3	0.75	3	0.5
Accessory	GO:biological_process	group_11894	5	5	159	53	3	0.6	3	0.4
Accessory	GO:molecular_function	group_11894	5	5	27	9	3	0.6	3	0.4
Accessory	COG	group_11847	2	2	1	1	1	0.5	1	0
Accessory	COG	group_11817	18	18	5	1	5	0.277777777777778	13	0.57516339869281
Accessory	GO:biological_process	group_11771	50	50	1776	37	48	0.96	48	0.921632653061224
Accessory	GO:molecular_function	group_11771	50	50	432	9	48	0.96	48	0.921632653061224
Accessory	GO:cellular_component	group_11769	23	23	8	8	1	0.043478260869565	22	0.91304347826087
Accessory	GO:biological_process	group_11735	23	23	50	25	2	0.08695652173913	21	0.83399209486166
Accessory	GO:molecular_function	group_11680	12	12	12	4	3	0.25	9	0.590909090909091
Accessory	COG	group_11529	29	29	48	2	24	0.827586206896552	24	0.704433497536946
