Group	Ontology	Term	Annotation	x_1	M	n	N	P_val
Accessory	COG	N	Cell motility 	3231	385783	8734	90131	3.56060429631978E-184
Accessory	COG	U	Intracellular trafficking, secretion, and vesicular transport 	5326	385783	20532	90131	3.48803095496377E-19
Accessory	COG	K	Transcription 	9516	385783	37360	90131	4.64017298988154E-24
Accessory	COG	M	Cell wall/membrane/envelope biogenesis 	5151	385783	20398	90131	3.84215635354928E-11
Accessory	COG	S	Function unknown 	18123	385783	71438	90131	1.87074131205711E-44
Accessory	COG	V	Defense mechanisms 	1328	385783	3214	90131	6.32574207695123E-114
Accessory	COG	Q	Secondary metabolites biosynthesis, transport and catabolism 	2842	385783	9491	90131	1.07438895393249E-50
Accessory	COG	L	Replication, recombination and repair 	3508	385783	12169	90131	9.53624946582834E-46
Accessory	COG	W	Extracellular structures 	2	385783	3	90131	0.012752115354265
Accessory	KEGG	ko05133	Pertussis 	946	474123	1312	95770	0
Accessory	KEGG	ko00903	Limonene and pinene degradation 	199	474123	489	95770	1.39524746134038E-25
Accessory	KEGG	ko00930	Caprolactam degradation 	177	474123	394	95770	5.34895563000589E-29
Accessory	KEGG	ko00362	Benzoate degradation 	693	474123	1703	95770	1.26175233994369E-83
Accessory	KEGG	ko00380	Tryptophan metabolism 	303	474123	1319	95770	0.006017174584944
Accessory	KEGG	ko00627	Aminobenzoate degradation 	189	474123	560	95770	2.33449061574618E-14
Accessory	KEGG	ko04216	Ferroptosis 	138	474123	357	95770	3.61766514235784E-16
Accessory	KEGG	ko00561	Glycerolipid metabolism 	318	474123	1192	95770	2.88849851584162E-08
Accessory	KEGG	ko04072	Phospholipase D signaling pathway 	67	474123	141	95770	9.38518627541004E-14
Accessory	KEGG	ko05231	Choline metabolism in cancer 	67	474123	141	95770	9.38518627541004E-14
Accessory	KEGG	ko01501	beta-Lactam resistance 	781	474123	2882	95770	1.88590166241095E-19
Accessory	KEGG	ko00040	Pentose and glucuronate interconversions 	784	474123	1864	95770	8.80636201878718E-103
Accessory	KEGG	ko00140	Steroid hormone biosynthesis 	63	474123	64	95770	3.42266423919E-45
Accessory	KEGG	ko00600	Sphingolipid metabolism 	113	474123	186	95770	3.18702550394667E-34
Accessory	KEGG	ko04973	Carbohydrate digestion and absorption 	63	474123	136	95770	1.97873655211632E-12
Accessory	KEGG	ko00565	Ether lipid metabolism 	63	474123	136	95770	1.97873655211632E-12
