Group	Ontology	Term	Annotation	Annotated	Significant	Expected	P_val
Accessory	GO:biological_process	GO:0009297	pilus assembly	476	257	17.02	1E-30
Accessory	GO:biological_process	GO:0051182	coenzyme transport	267	195	9.54	1E-30
Accessory	GO:biological_process	GO:0043711	pilus organization	549	257	19.63	1E-30
Accessory	GO:biological_process	GO:0007155	cell adhesion	548	254	19.59	1E-30
Accessory	GO:biological_process	GO:0009109	coenzyme catabolic process	138	138	4.93	1E-30
Accessory	GO:biological_process	GO:0009111	vitamin catabolic process	138	138	4.93	1E-30
Accessory	GO:biological_process	GO:0042365	water-soluble vitamin catabolic process	138	138	4.93	1E-30
Accessory	GO:biological_process	GO:0022610	biological adhesion	618	254	22.09	1E-30
Accessory	GO:biological_process	GO:0015882	L-ascorbic acid transmembrane transport	127	127	4.54	1E-30
Accessory	GO:biological_process	GO:0019852	L-ascorbic acid metabolic process	126	126	4.5	1E-30
Accessory	GO:biological_process	GO:0017000	antibiotic biosynthetic process	510	220	18.23	1E-30
Accessory	GO:biological_process	GO:0005975	carbohydrate metabolic process	10302	937	368.28	1E-30
Accessory	GO:biological_process	GO:0030031	cell projection assembly	910	257	32.53	1E-30
Accessory	GO:biological_process	GO:0009242	colanic acid biosynthetic process	306	161	10.94	1E-30
Accessory	GO:biological_process	GO:0046377	colanic acid metabolic process	306	161	10.94	1E-30
Accessory	GO:biological_process	GO:0009397	folic acid-containing compound catabolic...	96	96	3.43	1E-30
Accessory	GO:biological_process	GO:0042560	pteridine-containing compound catabolic ...	96	96	3.43	1E-30
Accessory	GO:biological_process	GO:0046657	folic acid catabolic process	96	96	3.43	1E-30
Accessory	GO:biological_process	GO:0030030	cell projection organization	1054	257	37.68	1E-30
Accessory	GO:biological_process	GO:0009313	oligosaccharide catabolic process	383	165	13.69	1E-30
Accessory	GO:biological_process	GO:0019324	L-lyxose metabolic process	84	84	3	1E-30
Accessory	GO:biological_process	GO:0005976	polysaccharide metabolic process	3953	465	141.31	1E-30
Accessory	GO:biological_process	GO:0000255	allantoin metabolic process	75	75	2.68	1E-30
Accessory	GO:biological_process	GO:0000256	allantoin catabolic process	75	75	2.68	1E-30
Accessory	GO:biological_process	GO:0009442	allantoin assimilation pathway	75	75	2.68	1E-30
Accessory	GO:biological_process	GO:0043605	cellular amide catabolic process	75	75	2.68	1E-30
Accessory	GO:biological_process	GO:0035335	peptidyl-tyrosine dephosphorylation	70	70	2.5	1E-30
Accessory	GO:biological_process	GO:0006862	nucleotide transport	68	68	2.43	1E-30
Accessory	GO:biological_process	GO:0035350	FAD transmembrane transport	68	68	2.43	1E-30
Accessory	GO:biological_process	GO:1901679	nucleotide transmembrane transport	68	68	2.43	1E-30
Accessory	GO:biological_process	GO:0044262	cellular carbohydrate metabolic process	6242	581	223.14	1E-30
Accessory	GO:biological_process	GO:0051187	cofactor catabolic process	432	141	15.44	1E-30
Accessory	GO:biological_process	GO:0042219	cellular modified amino acid catabolic p...	169	96	6.04	1E-30
Accessory	GO:biological_process	GO:0019985	translesion synthesis	161	90	5.76	1E-30
Accessory	GO:biological_process	GO:0018212	peptidyl-tyrosine modification	160	88	5.72	1E-30
Accessory	GO:biological_process	GO:0015699	antimonite transport	55	55	1.97	1E-30
Accessory	GO:biological_process	GO:0015700	arsenite transport	55	55	1.97	1E-30
Accessory	GO:biological_process	GO:0044264	cellular polysaccharide metabolic proces...	3810	395	136.2	1E-30
Accessory	GO:biological_process	GO:0000271	polysaccharide biosynthetic process	3343	363	119.51	1E-30
Accessory	GO:biological_process	GO:0046352	disaccharide catabolic process	246	101	8.79	1E-30
Accessory	GO:biological_process	GO:0018189	pyrroloquinoline quinone biosynthetic pr...	154	82	5.51	1E-30
Accessory	GO:biological_process	GO:0072351	tricarboxylic acid biosynthetic process	154	82	5.51	1E-30
Accessory	GO:biological_process	GO:2000891	cellobiose metabolic process	51	51	1.82	1E-30
Accessory	GO:biological_process	GO:2000892	cellobiose catabolic process	51	51	1.82	1E-30
Accessory	GO:biological_process	GO:0043649	dicarboxylic acid catabolic process	235	96	8.4	1E-30
Accessory	GO:biological_process	GO:0019321	pentose metabolic process	493	131	17.62	1E-30
Accessory	GO:biological_process	GO:0046655	folic acid metabolic process	242	96	8.65	1E-30
Accessory	GO:biological_process	GO:0035442	dipeptide transmembrane transport	405	118	14.48	1E-30
Accessory	GO:biological_process	GO:0035461	vitamin transmembrane transport	490	127	17.52	1E-30
Accessory	GO:biological_process	GO:0009311	oligosaccharide metabolic process	2394	283	85.58	1E-30
Accessory	GO:biological_process	GO:0015814	p-aminobenzoyl-glutamate transport	47	47	1.68	1E-30
Accessory	GO:biological_process	GO:0006301	postreplication repair	233	90	8.33	1E-30
Accessory	GO:biological_process	GO:0005984	disaccharide metabolic process	319	101	11.4	1E-30
Accessory	GO:biological_process	GO:0033692	cellular polysaccharide biosynthetic pro...	3309	330	118.29	1E-30
Accessory	GO:biological_process	GO:0019854	L-ascorbic acid catabolic process	42	42	1.5	1E-30
Accessory	GO:biological_process	GO:0008643	carbohydrate transport	3073	313	109.86	1E-30
Accessory	GO:biological_process	GO:0042737	drug catabolic process	1586	212	56.7	1E-30
Accessory	GO:biological_process	GO:0034637	cellular carbohydrate biosynthetic proce...	3382	330	120.9	1E-30
Accessory	GO:biological_process	GO:0000731	DNA synthesis involved in DNA repair	394	104	14.08	1E-30
Accessory	GO:biological_process	GO:0015767	lactose transport	138	66	4.93	1E-30
Accessory	GO:biological_process	GO:1901530	response to hypochlorite	138	65	4.93	1E-30
Accessory	GO:biological_process	GO:0009436	glyoxylate catabolic process	38	38	1.36	1E-30
Accessory	GO:biological_process	GO:0009441	glycolate metabolic process	38	38	1.36	1E-30
Accessory	GO:biological_process	GO:0019546	arginine deiminase pathway	38	38	1.36	1E-30
Accessory	GO:biological_process	GO:0034310	primary alcohol catabolic process	38	38	1.36	1E-30
Accessory	GO:biological_process	GO:0046296	glycolate catabolic process	38	38	1.36	1E-30
Accessory	GO:biological_process	GO:0030978	alpha-glucan metabolic process	137	64	4.9	1E-30
Accessory	GO:biological_process	GO:0030980	alpha-glucan catabolic process	137	64	4.9	1E-30
Accessory	GO:biological_process	GO:0051691	cellular oligosaccharide metabolic proce...	137	64	4.9	1E-30
Accessory	GO:biological_process	GO:0051692	cellular oligosaccharide catabolic proce...	137	64	4.9	1E-30
Accessory	GO:biological_process	GO:0046685	response to arsenic-containing substance	135	62	4.83	1E-30
Accessory	GO:biological_process	GO:0015766	disaccharide transport	551	114	19.7	1E-30
Accessory	GO:biological_process	GO:0006767	water-soluble vitamin metabolic process	3446	315	123.19	1E-30
Accessory	GO:biological_process	GO:0051181	cofactor transport	1646	199	58.84	1E-30
Accessory	GO:biological_process	GO:0042938	dipeptide transport	622	118	22.24	1E-30
Accessory	GO:biological_process	GO:0034219	carbohydrate transmembrane transport	2427	250	86.76	1E-30
Accessory	GO:biological_process	GO:0006766	vitamin metabolic process	3517	315	125.73	1E-30
Accessory	GO:biological_process	GO:0016052	carbohydrate catabolic process	4192	353	149.86	1E-30
Accessory	GO:biological_process	GO:0051180	vitamin transport	779	131	27.85	1E-30
Accessory	GO:biological_process	GO:0043708	cell adhesion involved in biofilm format...	131	58	4.68	1E-30
Accessory	GO:biological_process	GO:0015749	monosaccharide transmembrane transport	1172	160	41.9	1E-30
Accessory	GO:biological_process	GO:0090345	cellular organohalogen metabolic process	32	32	1.14	1E-30
Accessory	GO:biological_process	GO:0090347	regulation of cellular organohalogen met...	32	32	1.14	1E-30
Accessory	GO:biological_process	GO:0015772	oligosaccharide transport	624	114	22.31	1E-30
Accessory	GO:biological_process	GO:0016999	antibiotic metabolic process	2268	233	81.08	1E-30
Accessory	GO:biological_process	GO:0006108	malate metabolic process	297	80	10.62	1E-30
Accessory	GO:biological_process	GO:0098656	anion transmembrane transport	5499	413	196.58	1E-30
Accessory	GO:biological_process	GO:0044275	cellular carbohydrate catabolic process	1325	167	47.37	1E-30
Accessory	GO:biological_process	GO:0009401	phosphoenolpyruvate-dependent sugar phos...	1564	183	55.91	1E-30
Accessory	GO:biological_process	GO:0016051	carbohydrate biosynthetic process	4734	369	169.23	1E-30
Accessory	GO:biological_process	GO:0042886	amide transport	3556	304	127.12	1E-30
Accessory	GO:biological_process	GO:0055085	transmembrane transport	18010	976	643.83	1E-30
Accessory	GO:biological_process	GO:0019043	establishment of viral latency	28	28	1	1E-30
Accessory	GO:biological_process	GO:0075713	establishment of integrated proviral lat...	28	28	1	1E-30
Accessory	GO:biological_process	GO:0001101	response to acid chemical	534	98	19.09	1E-30
Accessory	GO:biological_process	GO:0035672	oligopeptide transmembrane transport	767	118	27.42	1E-30
Accessory	GO:biological_process	GO:0002790	peptide secretion	849	124	30.35	1E-30
Accessory	GO:biological_process	GO:0009306	protein secretion	849	124	30.35	1E-30
Accessory	GO:biological_process	GO:0032940	secretion by cell	849	124	30.35	1E-30
Accessory	GO:biological_process	GO:0046903	secretion	849	124	30.35	1E-30
Accessory	GO:biological_process	GO:0005988	lactose metabolic process	122	50	4.36	1E-30
Accessory	GO:biological_process	GO:0005990	lactose catabolic process	122	50	4.36	1E-30
Accessory	GO:biological_process	GO:0015906	sulfathiazole transport	207	62	7.4	1E-30
Accessory	GO:biological_process	GO:1902599	sulfathiazole transmembrane transport	207	62	7.4	1E-30
Accessory	GO:biological_process	GO:0015771	trehalose transport	121	48	4.33	1E-30
Accessory	GO:biological_process	GO:0009405	pathogenesis	445	85	15.91	1E-30
Accessory	GO:biological_process	GO:0071897	DNA biosynthetic process	684	105	24.45	1E-30
Accessory	GO:biological_process	GO:0006313	transposition, DNA-mediated	26	25	0.93	1E-30
Accessory	GO:biological_process	GO:0046185	aldehyde catabolic process	846	117	30.24	1E-30
Accessory	GO:biological_process	GO:0009415	response to water	24	24	0.86	1E-30
Accessory	GO:biological_process	GO:0051599	response to hydrostatic pressure	24	24	0.86	1E-30
Accessory	GO:biological_process	GO:0015724	formate transport	203	58	7.26	1E-30
Accessory	GO:biological_process	GO:0031638	zymogen activation	203	57	7.26	1E-30
Accessory	GO:biological_process	GO:0018282	metal incorporation into metallo-sulfur ...	118	45	4.22	1E-30
Accessory	GO:biological_process	GO:0018283	iron incorporation into metallo-sulfur c...	118	45	4.22	1E-30
Accessory	GO:biological_process	GO:0007584	response to nutrient	201	56	7.19	1E-30
Accessory	GO:biological_process	GO:0019249	lactate biosynthetic process	281	63	10.05	1E-30
Accessory	GO:biological_process	GO:0015628	protein secretion by the type II secreti...	114	42	4.08	1E-30
Accessory	GO:biological_process	GO:0098776	protein transport across the cell outer ...	114	42	4.08	1E-30
Accessory	GO:biological_process	GO:0009103	lipopolysaccharide biosynthetic process	1694	166	60.56	1E-30
Accessory	GO:biological_process	GO:0010911	regulation of isomerase activity	198	52	7.08	5.5E-30
Accessory	GO:biological_process	GO:0046487	glyoxylate metabolic process	439	76	15.69	6.1E-30
Accessory	GO:biological_process	GO:0006810	transport	24012	1165	858.4	1.4E-29
Accessory	GO:biological_process	GO:0031589	cell-substrate adhesion	277	59	9.9	1.7E-28
Accessory	GO:biological_process	GO:0044419	interspecies interaction between organis...	1057	119	37.79	9.5E-28
Accessory	GO:biological_process	GO:0044247	cellular polysaccharide catabolic proces...	355	65	12.69	2.9E-27
Accessory	GO:biological_process	GO:0008653	lipopolysaccharide metabolic process	1840	166	65.78	6.2E-27
Accessory	GO:biological_process	GO:0051234	establishment of localization	24447	1165	873.95	1.2E-26
Accessory	GO:biological_process	GO:0006044	N-acetylglucosamine metabolic process	273	56	9.76	2.9E-26
Accessory	GO:biological_process	GO:0015718	monocarboxylic acid transport	671	89	23.99	4.7E-26
Accessory	GO:biological_process	GO:0015833	peptide transport	3277	242	117.15	7.2E-26
Accessory	GO:biological_process	GO:1903825	organic acid transmembrane transport	4284	288	153.15	2.8E-24
Accessory	GO:biological_process	GO:1905039	carboxylic acid transmembrane transport	4284	288	153.15	2.8E-24
Accessory	GO:biological_process	GO:0009244	lipopolysaccharide core region biosynthe...	1057	112	37.79	4.9E-24
Accessory	GO:biological_process	GO:0046401	lipopolysaccharide core region metabolic...	1057	112	37.79	4.9E-24
