Number of genomes	Frequency	Tool
1	4674	Panaroo
2	1691	Panaroo
3	750	Panaroo
4	791	Panaroo
5	564	Panaroo
6	352	Panaroo
7	247	Panaroo
8	302	Panaroo
9	144	Panaroo
10	142	Panaroo
11	73	Panaroo
12	61	Panaroo
13	81	Panaroo
14	119	Panaroo
15	51	Panaroo
16	55	Panaroo
17	33	Panaroo
18	37	Panaroo
19	24	Panaroo
20	64	Panaroo
21	48	Panaroo
22	33	Panaroo
23	39	Panaroo
24	36	Panaroo
25	37	Panaroo
26	32	Panaroo
27	32	Panaroo
28	46	Panaroo
29	24	Panaroo
30	33	Panaroo
31	32	Panaroo
32	23	Panaroo
33	30	Panaroo
34	35	Panaroo
35	25	Panaroo
36	19	Panaroo
37	16	Panaroo
38	39	Panaroo
39	23	Panaroo
40	30	Panaroo
41	28	Panaroo
42	60	Panaroo
43	18	Panaroo
44	15	Panaroo
45	10	Panaroo
46	21	Panaroo
47	16	Panaroo
48	19	Panaroo
49	21	Panaroo
50	11	Panaroo
51	21	Panaroo
52	23	Panaroo
53	5	Panaroo
54	7	Panaroo
55	14	Panaroo
56	8	Panaroo
57	6	Panaroo
58	6	Panaroo
59	10	Panaroo
60	12	Panaroo
61	10	Panaroo
62	10	Panaroo
63	26	Panaroo
64	22	Panaroo
65	26	Panaroo
66	24	Panaroo
67	30	Panaroo
68	39	Panaroo
69	61	Panaroo
70	156	Panaroo
71	258	Panaroo
72	763	Panaroo
73	2523	Panaroo
1	7954	Roary
2	2207	Roary
3	972	Roary
4	933	Roary
5	685	Roary
6	475	Roary
7	466	Roary
8	504	Roary
9	161	Roary
10	152	Roary
11	122	Roary
12	132	Roary
13	111	Roary
14	125	Roary
15	121	Roary
16	111	Roary
17	64	Roary
18	70	Roary
19	81	Roary
20	119	Roary
21	145	Roary
22	44	Roary
23	31	Roary
24	55	Roary
25	28	Roary
26	43	Roary
27	42	Roary
28	49	Roary
29	20	Roary
30	29	Roary
31	40	Roary
32	24	Roary
33	26	Roary
34	47	Roary
35	34	Roary
36	34	Roary
37	32	Roary
38	47	Roary
39	30	Roary
40	20	Roary
41	19	Roary
42	44	Roary
43	16	Roary
44	23	Roary
45	23	Roary
46	16	Roary
47	13	Roary
48	30	Roary
49	30	Roary
50	12	Roary
51	31	Roary
52	21	Roary
53	16	Roary
54	14	Roary
55	17	Roary
56	12	Roary
57	10	Roary
58	13	Roary
59	6	Roary
60	12	Roary
61	12	Roary
62	15	Roary
63	25	Roary
64	34	Roary
65	48	Roary
66	25	Roary
67	25	Roary
68	36	Roary
69	56	Roary
70	142	Roary
71	274	Roary
72	779	Roary
73	2146	Roary
1	4720	PEPPAN
2	1592	PEPPAN
3	817	PEPPAN
4	770	PEPPAN
5	546	PEPPAN
6	381	PEPPAN
7	275	PEPPAN
8	306	PEPPAN
9	123	PEPPAN
10	144	PEPPAN
11	80	PEPPAN
12	63	PEPPAN
13	80	PEPPAN
14	113	PEPPAN
15	55	PEPPAN
16	56	PEPPAN
17	32	PEPPAN
18	36	PEPPAN
19	24	PEPPAN
20	65	PEPPAN
21	44	PEPPAN
22	39	PEPPAN
23	37	PEPPAN
24	42	PEPPAN
25	44	PEPPAN
26	34	PEPPAN
27	28	PEPPAN
28	44	PEPPAN
29	15	PEPPAN
30	39	PEPPAN
31	42	PEPPAN
32	22	PEPPAN
33	23	PEPPAN
34	23	PEPPAN
35	29	PEPPAN
36	23	PEPPAN
37	8	PEPPAN
38	41	PEPPAN
39	22	PEPPAN
40	29	PEPPAN
41	24	PEPPAN
42	70	PEPPAN
43	17	PEPPAN
44	18	PEPPAN
45	7	PEPPAN
46	17	PEPPAN
47	17	PEPPAN
48	21	PEPPAN
49	24	PEPPAN
50	16	PEPPAN
51	13	PEPPAN
52	34	PEPPAN
53	10	PEPPAN
54	5	PEPPAN
55	12	PEPPAN
56	11	PEPPAN
57	6	PEPPAN
58	5	PEPPAN
59	11	PEPPAN
60	10	PEPPAN
61	8	PEPPAN
62	6	PEPPAN
63	16	PEPPAN
64	23	PEPPAN
65	27	PEPPAN
66	17	PEPPAN
67	37	PEPPAN
68	9	PEPPAN
69	24	PEPPAN
70	61	PEPPAN
71	24	PEPPAN
72	82	PEPPAN
73	3600	PEPPAN
