Tree	Support	CollesLike	Sackin	Cophenetic	Balance_ind
Roary_acc	90.0068181818182	656	854	13678	2.29976201983054
ANI	80.2247422680413	547.284891138425	909	7988	1.89438678537545
Panaroo_core_MAFFT	70.8333333333333	866.215480379931	1132	17328	2.99823633156966
Panaroo_core_Prank	69.3229166666667	812.635141387358	1090	15459	2.79148351362621
Panaroo_part_MAFFT	68.1041666666667	726.736502684979	974	10549	2.30666888793596
Panaroo_part_Prank	67.3125	831.770976741849	1073	15099	2.77780801945077
Roary_core_MAFFT	69.5	864	1071	15049	2.81036555211127
Roary_core_Prank	70.5208333333333	859	1134	15011	2.85795588941803
Roary_part_MAFFT	69.4583333333333	755.652876109542	1036	13956	2.59134322462373
Roary_part_Prank	69.3229166666667	861	1004	15078	2.74949291009387
Panaroo_acc	93.0931506849315	635.502283923364	961	12473	2.30091412288693
PEPPAN_acc	97.7	381.855125836283	791	11246	1.78736981607792
