Trees	Panaroo_core_MAFFT	Panaroo_core_Prank	Panaroo_part_MAFFT	Panaroo_part_Prank	Roary_core_MAFFT	Roary_core_Prank	Roary_part_MAFFT	Roary_part_Prank	Panaroo_acc	Roary_acc	ANI	PEPPAN_acc
Panaroo_core_MAFFT	1	0.976317	0.975671	0.973448	0.967841	0.968405	0.973341	0.967096	0.889148	0.923959	0.909429	0.856009
Panaroo_core_Prank	1	1	0.9733	0.975044	0.965939	0.968215	0.978196	0.963352	0.891362	0.922865	0.909872	0.856009
Panaroo_part_MAFFT	1	1	1	0.986524	0.96636	0.967615	0.96932	0.972411	0.891222	0.923976	0.907016	0.855716
Panaroo_part_Prank	1	1	1	1	0.965828	0.967428	0.970851	0.973285	0.890799	0.925936	0.906518	0.855887
Roary_core_MAFFT	1	1	1	1	1	0.964754	0.968346	0.963796	0.8842	0.918765	0.915534	0.852106
Roary_core_Prank	1	1	1	1	1	1	0.969464	0.968146	0.885658	0.916876	0.90451	0.85196
Roary_part_MAFFT	1	1	1	1	1	1	1	0.967807	0.888136	0.919813	0.909973	0.854007
Roary_part_Prank	1	1	1	1	1	1	1	1	0.890651	0.91949	0.90824	0.850488
Panaroo_acc	1	1	1	1	1	1	1	1	1	0.932589	0.897173	0.842504
Roary_acc	1	1	1	1	1	1	1	1	1	1	0.879637	0.865733
ANI	1	1	1	1	1	1	1	1	1	1	1	0.830881
PEPPAN_acc	1	1	1	1	1	1	1	1	1	1	1	1
