Assembly	Host	Host_species	Isolation_source	Host_disease	Num_clusters	Num_clusters_Human	Num_clusters_Insect	Num_clusters_Plants	Percent_Human	Percent_Insect	Percent_Plant
GCF_015160915.1_ASM1516091v1	Insect	silkworm	blood from silkworm suffering from septicemia	None	4692	22	62	16	0.468883205456096	1.32139812446718	0.341005967604433
GCF_013367735.1_ASM1336773v1	None	None	the rhizosphere soil of tea tree	None	4525	24	18	17	0.530386740331492	0.397790055248619	0.375690607734807
GCF_003182655.1_ASM318265v1	None	not applicable	air	None	4742	31	5	3	0.65373260227752	0.105440742302826	0.063264445381696
GCF_003967055.1_ASM396705v1	None	None	None	None	4742	24	6	4	0.506115563053564	0.126528890763391	0.084352593842261
GCF_003355135.1_ASM335513v1	None	None	soil	None	4691	21	13	16	0.447665742911959	0.277126412278832	0.341078661266255
GCF_009936295.1_ASM993629v1	None	None	None	None	4683	27	5	2	0.576553491351698	0.106769165065129	0.042707666026052
GCF_002220535.1_ASM222053v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	4760	34	6	2	0.714285714285714	0.126050420168067	0.042016806722689
GCF_006974205.1_ASM697420v1	None	None	pond water	None	4120	18	3	1	0.436893203883495	0.072815533980583	0.024271844660194
GCF_017301275.1_ASM1730127v1	None	None	None	None	4743	20	4	1	0.421674045962471	0.084334809192494	0.021083702298124
GCF_017654245.1_ASM1765424v1	None	not collected	None	None	4708	21	4	1	0.446049277824979	0.084961767204758	0.02124044180119
GCF_017299175.1_ASM1729917v1	None	None	None	None	4740	20	4	1	0.421940928270042	0.084388185654008	0.021097046413502
GCF_017299435.1_ASM1729943v1	None	None	None	None	4746	20	4	1	0.421407501053519	0.084281500210704	0.021070375052676
GCF_013122155.1_ASM1312215v1	Insect	Drosophila melanogaster	None	None	4819	32	86	44	0.664038182195476	1.78460261465034	0.91305250051878
GCF_001672055.1_ASM167205v1	Human	Homo sapiens	urine	In patient	4507	48	16	93	1.0650099844686	0.355003328156202	2.06345684490792
GCF_001417865.2_ASM141786v2	Plant	Zea mays	None	None	5149	51	10	284	0.990483589046417	0.194212468440474	5.51563410370946
GCF_013112395.1_ASM1311239v1	None	None	soil	None	4981	43	23	49	0.863280465769926	0.461754667737402	0.983738205179683
GCF_011602465.1_ASM1160246v1	Plant	Jatropha curcas	seeds	None	4692	31	31	121	0.660699062233589	0.660699062233589	2.57885763000853
GCF_013377375.1_ASM1337737v1	None	None	rhizosphere soil in ginger field	None	4727	25	34	63	0.528876665961498	0.719272265707637	1.33276919822297
GCF_015708655.1_ASM1570865v1	Insect	Curculio caryae	pupal cells	None	4742	29	43	68	0.61155630535639	0.906790383804302	1.43399409531843
GCF_000336425.1_ASM33642v1	None	None	None	None	4853	29	36	63	0.597568514321039	0.741809190191634	1.29816608283536
GCF_000513215.1_DB11	None	None	None	None	4686	101	6	13	2.15535638070849	0.128040973111396	0.277422108408024
GCF_011769885.1_ASM1176988v1	Human	Homo sapiens	sputum	None	4772	101	8	14	2.11651299245599	0.167644593461861	0.293378038558257
GCF_006711145.1_ASM671114v1	Human	Homo sapiens	blood	opportunistic bacterial infectious disease	4683	135	5	3	2.88276745675849	0.106769165065129	0.064061499039078
GCF_002220595.1_ASM222059v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	4780	144	6	3	3.01255230125523	0.125523012552301	0.062761506276151
GCF_002220615.1_ASM222061v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	4678	110	43	3	2.35143223599829	0.919196237708423	0.064129970072681
GCF_002220695.1_ASM222069v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	4768	129	6	5	2.70553691275168	0.125838926174497	0.104865771812081
GCF_002220575.1_ASM222057v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	4770	129	6	5	2.70440251572327	0.125786163522013	0.10482180293501
GCF_003071585.1_ASM307158v1	None	None	None	None	4745	119	3	31	2.50790305584826	0.063224446786091	0.65331928345627
GCF_002220675.1_ASM222067v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	4788	120	0	29	2.5062656641604	0	0.605680868838764
GCF_002220515.1_ASM222051v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	4888	180	1	33	3.68248772504092	0.020458265139116	0.675122749590835
GCF_002220715.1_ASM222071v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	4871	167	46	31	3.42845411619791	0.944364606856908	0.63641962636009
GCF_001280365.1_ASM128036v1	Plant	Solanum nigrum	None	None	4689	154	1	63	3.28428236297718	0.021326508850501	1.34357005758157
GCF_009909345.1_ASM990934v1	Human	Homo sapiens	sputum	None	5019	189	5	31	3.76569037656904	0.099621438533572	0.617652918908149
GCF_006711245.1_ASM671124v1	Human	Homo sapiens	blood	opportunistic bacterial infectious disease	4796	161	0	31	3.35696413678065	0	0.646371976647206
GCF_006716725.1_ASM671672v1	Human	Homo sapiens	blood	opportunistic bacterial infectious disease	4962	165	6	33	3.32527206771463	0.120918984280532	0.665054413542926
GCF_008364265.2_ASM836426v2	None	None	Mixed salads	None	4584	81	12	7	1.76701570680628	0.261780104712042	0.152705061082024
GCF_019344315.1_ASM1934431v1	None	None	water surface of oligotrophic pond	None	5084	136	53	7	2.6750590086546	1.04248623131393	0.137686860739575
GCF_003186475.1_ASM318647v1	Human	Homo sapiens	wound	Missing	4727	101	6	1	2.13666173048445	0.126930399830759	0.02115506663846
GCF_003031645.1_ASM303164v1	Human	Homo sapiens	sputum	None	4987	132	4	4	2.6468818929216	0.080208542209745	0.080208542209745
GCF_003031545.1_ASM303154v1	Human	Homo sapiens	sputum	None	5065	134	4	4	2.64560710760118	0.078973346495558	0.078973346495558
GCF_904866365.1_MSB1_9C	None	None	None	None	5302	125	4	4	2.35760090531875	0.0754432289702	0.0754432289702
GCF_008931425.1_ASM893142v1	None	None	Ensuite 7/8	None	5353	131	5	5	2.44722585466094	0.093405566971792	0.093405566971792
GCF_003146705.1_ASM314670v1	Human	Homo sapiens	Peri-rectal	Not Applicable	5349	147	7	7	2.74817722938867	0.130865582351841	0.130865582351841
GCF_001022215.1_ASM102221v1	Human	Homo sapiens	respiratory	None	5337	147	7	7	2.75435637998876	0.131159827618512	0.131159827618512
GCF_006711525.1_ASM671152v1	Human	Homo sapiens	blood	opportunistic bacterial infectious disease	4544	187	13	8	4.11531690140845	0.286091549295775	0.176056338028169
GCF_002220635.1_ASM222063v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	5076	173	53	6	3.40819542947203	1.0441292356186	0.118203309692671
GCF_009834305.1_ASM983430v1	Insect	Apis mellifera	None	None	4842	146	27	5	3.0152829409335	0.557620817843866	0.103263114415531
GCF_013426155.1_ASM1342615v1	Human	Homo sapiens	platelet concentrate	septicemia	4985	179	11	5	3.59077231695085	0.220661985957874	0.100300902708124
GCF_006842785.1_ASM684278v1	Human	Homo sapiens	blood	opportunistic bacterial infectious disease	4920	195	12	5	3.96341463414634	0.24390243902439	0.101626016260163
GCF_006711125.1_ASM671112v1	Human	Homo sapiens	blood	opportunistic bacterial infectious disease	4920	195	12	5	3.96341463414634	0.24390243902439	0.101626016260163
GCF_006716825.1_ASM671682v1	Human	Homo sapiens	blood	opportunistic bacterial infectious disease	4943	196	12	5	3.96520331782318	0.242767550070807	0.101153145862836
GCF_006711405.1_ASM671140v1	Human	Homo sapiens	blood	opportunistic bacterial infectious disease	4944	196	12	5	3.96440129449838	0.242718446601942	0.101132686084142
GCF_000783915.2_ASM78391v2	Human	Homo sapiens	endotracheal aspirate	Cough	4773	183	2	1	3.8340666247643	0.041902367483763	0.020951183741881
GCF_009909365.1_ASM990936v1	Human	Homo sapiens	blood	None	5105	204	0	0	3.99608227228208	0	0
GCF_009909385.1_ASM990938v1	Human	Homo sapiens	body fluid	None	5103	205	0	0	4.0172447579855	0	0
GCF_009909425.1_ASM990942v1	Human	Homo sapiens	sputum	None	5102	205	0	0	4.01803214425715	0	0
GCF_009909405.1_ASM990940v1	Human	Homo sapiens	body fluid	None	5092	205	0	0	4.02592301649647	0	0
GCF_015074945.1_ASM1507494v1	Human	Homo sapiens	Greece	n/a	4972	147	2	1	2.95655671761866	0.0402252614642	0.0201126307321
GCF_000828775.1_ASM82877v1	None	None	None	None	4910	100	0	0	2.03665987780041	0	0
GCF_013426135.1_ASM1342613v1	Human	Homo sapiens	platelet concentrate	septicemia	5245	101	2	13	1.9256434699714	0.03813155386082	0.247855100095329
GCF_002947235.1_ASM294723v1	None	None	None	None	5018	99	2	13	1.97289756875249	0.039856516540454	0.259067357512953
GCF_900029885.1_Sm_SMB2099	None	None	None	None	4651	96	0	2	2.06407224252849	0	0.043001505052677
GCF_001294565.1_ASM129456v1	Human	Homo sapiens	bronchial sample from a male patient with chronic obstructive pneumonia	Chronic obstructive pneumonia	4832	112	2	1	2.31788079470199	0.041390728476821	0.020695364238411
GCF_002996885.1_ASM299688v1	None	None	None	None	4913	93	2	2	1.8929371056381	0.040708324852432	0.040708324852432
GCF_002220555.1_ASM222055v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	4572	106	0	5	2.31846019247594	0	0.109361329833771
GCF_002220655.1_ASM222065v1	Human	Homo sapiens	University of Michigan Health System	bacteremia	4920	117	0	2	2.3780487804878	0	0.040650406504065
GCF_009858195.1_ASM985819v1	Human	Homo sapiens	None	None	4678	119	0	1	2.54382214621633	0	0.021376656690894
GCF_003071565.1_ASM307156v1	None	None	None	None	4752	79	0	1	1.66245791245791	0	0.021043771043771
GCF_002997125.1_ASM299712v1	None	None	None	None	4865	86	0	1	1.76772867420349	0	0.020554984583762
GCF_003071625.1_ASM307162v1	None	None	None	None	4699	84	0	1	1.78761438603958	0	0.021281123643328
GCF_003204405.1_ASM320440v1	None	None	None	None	4699	84	0	1	1.78761438603958	0	0.021281123643328
GCF_003204075.1_ASM320407v1	None	None	None	None	4699	84	0	1	1.78761438603958	0	0.021281123643328
GCF_003071605.1_ASM307160v1	None	None	None	None	4697	84	0	1	1.78837555886736	0	0.021290185224612
