Assembly	Host	Num_phages	Num_IS	Num_GI
GCF_000336425.1_ASM33642v1	None	2	1	8
GCF_000513215.1_DB11	None	1	6	2
GCF_000783915.2_ASM78391v2	Human	3	10	8
GCF_000828775.1_ASM82877v1	None	5	22	13
GCF_001022215.1_ASM102221v1	Human	4	109	20
GCF_001280365.1_ASM128036v1	Plant	3	2	5
GCF_001294565.1_ASM129456v1	Human	7	12	7
GCF_001417865.2_ASM141786v2	Plant	6	33	10
GCF_001672055.1_ASM167205v1	Human	2	11	3
GCF_002220515.1_ASM222051v1	Human	3	2	4
GCF_002220535.1_ASM222053v1	Human	5	6	9
GCF_002220555.1_ASM222055v1	Human	0	2	3
GCF_002220575.1_ASM222057v1	Human	1	5	5
GCF_002220595.1_ASM222059v1	Human	2	6	1
GCF_002220615.1_ASM222061v1	Human	0	13	5
GCF_002220635.1_ASM222063v1	Human	4	24	8
GCF_002220655.1_ASM222065v1	Human	6	4	9
GCF_002220675.1_ASM222067v1	Human	5	9	7
GCF_002220695.1_ASM222069v1	Human	1	5	5
GCF_002220715.1_ASM222071v1	Human	4	20	6
GCF_002947235.1_ASM294723v1	None	6	38	10
GCF_002996885.1_ASM299688v1	None	4	8	11
GCF_002997125.1_ASM299712v1	None	3	8	7
GCF_003031545.1_ASM303154v1	Human	2	171	17
GCF_003031645.1_ASM303164v1	Human	2	153	15
GCF_003071565.1_ASM307156v1	None	3	9	7
GCF_003071585.1_ASM307158v1	None	3	6	9
GCF_003071605.1_ASM307160v1	None	2	10	5
GCF_003071625.1_ASM307162v1	None	2	10	5
GCF_003146705.1_ASM314670v1	Human	4	118	20
GCF_003182655.1_ASM318265v1	None	1	5	7
GCF_003186475.1_ASM318647v1	Human	4	6	7
GCF_003204075.1_ASM320407v1	None	2	11	6
GCF_003204405.1_ASM320440v1	None	2	11	6
GCF_003355135.1_ASM335513v1	None	2	2	7
GCF_003967055.1_ASM396705v1	None	2	12	9
GCF_006711125.1_ASM671112v1	Human	3	8	6
GCF_006711145.1_ASM671114v1	Human	3	11	7
GCF_006711245.1_ASM671124v1	Human	2	2	7
GCF_006711405.1_ASM671140v1	Human	3	8	6
GCF_006711525.1_ASM671152v1	Human	3	15	4
GCF_006716725.1_ASM671672v1	Human	4	7	10
GCF_006716825.1_ASM671682v1	Human	3	8	6
GCF_006842785.1_ASM684278v1	Human	3	8	6
GCF_006974205.1_ASM697420v1	None	3	15	9
GCF_008364265.2_ASM836426v2	None	4	1	5
GCF_008931425.1_ASM893142v1	None	5	66	17
GCF_009834305.1_ASM983430v1	Insect	3	5	5
GCF_009858195.1_ASM985819v1	Human	2	7	6
GCF_009909345.1_ASM990934v1	Human	4	22	9
GCF_009909365.1_ASM990936v1	Human	5	31	11
GCF_009909385.1_ASM990938v1	Human	5	32	12
GCF_009909405.1_ASM990940v1	Human	5	30	12
GCF_009909425.1_ASM990942v1	Human	5	31	12
GCF_009936295.1_ASM993629v1	None	4	26	10
GCF_011602465.1_ASM1160246v1	Plant	1	4	5
GCF_011769885.1_ASM1176988v1	Human	0	12	5
GCF_013112395.1_ASM1311239v1	None	4	27	11
GCF_013122155.1_ASM1312215v1	Insect	2	6	6
GCF_013367735.1_ASM1336773v1	None	1	1	4
GCF_013377375.1_ASM1337737v1	None	2	4	4
GCF_013426135.1_ASM1342613v1	Human	9	29	13
GCF_013426155.1_ASM1342615v1	Human	4	16	10
GCF_015074945.1_ASM1507494v1	Human	4	24	11
GCF_015160915.1_ASM1516091v1	Insect	2	7	7
GCF_015708655.1_ASM1570865v1	Insect	2	5	6
GCF_017299175.1_ASM1729917v1	None	3	14	8
GCF_017299435.1_ASM1729943v1	None	3	15	9
GCF_017301275.1_ASM1730127v1	None	3	15	9
GCF_017654245.1_ASM1765424v1	None	3	9	8
GCF_019344315.1_ASM1934431v1	None	2	22	6
GCF_900029885.1_Sm_SMB2099	None	2	13	7
GCF_904866365.1_MSB1_9C	None	4	152	21
