Assembly	BUSCO_percent
GCF_000336425.1_ASM33642v1	100.0%
GCF_000513215.1_DB11	100.0%
GCF_000783915.2_ASM78391v2	100.0%
GCF_000828775.1_ASM82877v1	100.0%
GCF_001022215.1_ASM102221v1	100.0%
GCF_001280365.1_ASM128036v1	100.0%
GCF_001294565.1_ASM129456v1	100.0%
GCF_001417865.2_ASM141786v2	100.0%
GCF_001672055.1_ASM167205v1	95.2%
GCF_002220515.1_ASM222051v1	100.0%
GCF_002220535.1_ASM222053v1	100.0%
GCF_002220555.1_ASM222055v1	100.0%
GCF_002220575.1_ASM222057v1	100.0%
GCF_002220595.1_ASM222059v1	100.0%
GCF_002220615.1_ASM222061v1	100.0%
GCF_002220635.1_ASM222063v1	99.7%
GCF_002220655.1_ASM222065v1	100.0%
GCF_002220675.1_ASM222067v1	99.7%
GCF_002220695.1_ASM222069v1	100.0%
GCF_002220715.1_ASM222071v1	100.0%
GCF_002947235.1_ASM294723v1	100.0%
GCF_002996885.1_ASM299688v1	100.0%
GCF_002997125.1_ASM299712v1	100.0%
GCF_003031545.1_ASM303154v1	100.0%
GCF_003031645.1_ASM303164v1	100.0%
GCF_003071565.1_ASM307156v1	100.0%
GCF_003071585.1_ASM307158v1	100.0%
GCF_003071605.1_ASM307160v1	100.0%
GCF_003071625.1_ASM307162v1	100.0%
GCF_003146705.1_ASM314670v1	100.0%
GCF_003182655.1_ASM318265v1	99.1%
GCF_003186475.1_ASM318647v1	100.0%
GCF_003204075.1_ASM320407v1	100.0%
GCF_003204405.1_ASM320440v1	100.0%
GCF_003355135.1_ASM335513v1	100.0%
GCF_003967055.1_ASM396705v1	100.0%
GCF_006711125.1_ASM671112v1	100.0%
GCF_006711145.1_ASM671114v1	95.0%
GCF_006711245.1_ASM671124v1	100.0%
GCF_006711405.1_ASM671140v1	100.0%
GCF_006711525.1_ASM671152v1	95.1%
GCF_006716725.1_ASM671672v1	100.0%
GCF_006716825.1_ASM671682v1	100.0%
GCF_006842785.1_ASM684278v1	100.0%
GCF_006974205.1_ASM697420v1	95.2%
GCF_008364265.2_ASM836426v2	99.5%
GCF_008931425.1_ASM893142v1	100.0%
GCF_009834305.1_ASM983430v1	100.0%
GCF_009858195.1_ASM985819v1	100.0%
GCF_009909345.1_ASM990934v1	100.0%
GCF_009909365.1_ASM990936v1	100.0%
GCF_009909385.1_ASM990938v1	100.0%
GCF_009909405.1_ASM990940v1	100.0%
GCF_009909425.1_ASM990942v1	100.0%
GCF_009936295.1_ASM993629v1	100.0%
GCF_011602465.1_ASM1160246v1	100.0%
GCF_011769885.1_ASM1176988v1	100.0%
GCF_013112395.1_ASM1311239v1	100.0%
GCF_013122155.1_ASM1312215v1	100.0%
GCF_013367735.1_ASM1336773v1	100.0%
GCF_013377375.1_ASM1337737v1	100.0%
GCF_013426135.1_ASM1342613v1	100.0%
GCF_013426155.1_ASM1342615v1	100.0%
GCF_015074945.1_ASM1507494v1	100.0%
GCF_015160915.1_ASM1516091v1	100.0%
GCF_015708655.1_ASM1570865v1	100.0%
GCF_017299175.1_ASM1729917v1	100.0%
GCF_017299435.1_ASM1729943v1	100.0%
GCF_017301275.1_ASM1730127v1	100.0%
GCF_017654245.1_ASM1765424v1	100.0%
GCF_019344315.1_ASM1934431v1	100.0%
GCF_900029885.1_Sm_SMB2099	99.3%
GCF_904866365.1_MSB1_9C	100.0%
